Country,Year,PerCapitaCO2
Austria,2023,7442.08
Belgium,2023,9119.974
Bulgaria,2023,6861.755
Croatia,2023,5440.7835
Cyprus,2023,7227.1657
Czechia,2023,8500.418
Denmark,2023,7602.126
Estonia,2023,9784.225
European Union (27),2023,6890.2993
Finland,2023,14141.014
France,2023,5031.372
Germany,2023,7931.8743
Greece,2023,6127.184
Hungary,2023,5090.1766
Ireland,2023,11095.565
Italy,2023,6084.0755
Latvia,2023,7599.6065
Lithuania,2023,7954.2584
Luxembourg,2023,11861.919
Malta,2023,3744.7104
Netherlands,2023,8464.481
Poland,2023,8743.331
Portugal,2023,5190.6157
Romania,2023,5064.8828
Slovakia,2023,4939.766
Slovenia,2023,7784.5387
Spain,2023,5898.736
Sweden,2023,6656.2405
World,2023,6650.8427
